,Hours,Well,OD600,Bioreactor,Day,Colony,Replicate,Carbon source
0,,A1,,M2,23.0,1.0,1,Galactose
1,,A1,,M2,23.0,1.0,1,Galactose
2,,A1,,M2,23.0,1.0,1,Galactose
3,1.3194444444444444,A1,0.05,M2,23.0,1.0,1,Galactose
4,1.6527777777777777,A1,0.051000000000000004,M2,23.0,1.0,1,Galactose
5,1.9861111111111112,A1,0.054000000000000006,M2,23.0,1.0,1,Galactose
6,2.319444444444444,A1,0.05500000000000001,M2,23.0,1.0,1,Galactose
7,2.6527777777777777,A1,0.05500000000000001,M2,23.0,1.0,1,Galactose
8,2.986111111111111,A1,0.05600000000000001,M2,23.0,1.0,1,Galactose
9,3.319444444444444,A1,0.059999999999999984,M2,23.0,1.0,1,Galactose
10,3.6527777777777777,A1,0.05800000000000001,M2,23.0,1.0,1,Galactose
11,3.986111111111111,A1,0.060999999999999985,M2,23.0,1.0,1,Galactose
12,4.319444444444445,A1,0.05700000000000001,M2,23.0,1.0,1,Galactose
13,4.652777777777779,A1,0.05700000000000001,M2,23.0,1.0,1,Galactose
14,4.986111111111112,A1,0.05800000000000001,M2,23.0,1.0,1,Galactose
15,5.319444444444445,A1,0.06299999999999999,M2,23.0,1.0,1,Galactose
16,5.652777777777779,A1,0.05900000000000001,M2,23.0,1.0,1,Galactose
17,5.986111111111112,A1,0.05900000000000001,M2,23.0,1.0,1,Galactose
18,6.319444444444445,A1,0.06299999999999999,M2,23.0,1.0,1,Galactose
19,6.652777777777779,A1,0.061999999999999986,M2,23.0,1.0,1,Galactose
20,6.986111111111112,A1,0.060999999999999985,M2,23.0,1.0,1,Galactose
21,7.319444444444445,A1,0.06399999999999999,M2,23.0,1.0,1,Galactose
22,7.652777777777779,A1,0.06299999999999999,M2,23.0,1.0,1,Galactose
23,7.986111111111112,A1,0.06299999999999999,M2,23.0,1.0,1,Galactose
24,8.319444444444445,A1,0.06799999999999999,M2,23.0,1.0,1,Galactose
25,8.652777777777779,A1,0.06999999999999999,M2,23.0,1.0,1,Galactose
26,8.98611111111111,A1,0.072,M2,23.0,1.0,1,Galactose
27,9.319444444444445,A1,0.06999999999999999,M2,23.0,1.0,1,Galactose
28,9.652777777777779,A1,0.071,M2,23.0,1.0,1,Galactose
29,9.98611111111111,A1,0.074,M2,23.0,1.0,1,Galactose
30,10.319444444444445,A1,0.077,M2,23.0,1.0,1,Galactose
31,10.652777777777779,A1,0.079,M2,23.0,1.0,1,Galactose
32,10.98611111111111,A1,0.083,M2,23.0,1.0,1,Galactose
33,11.319444444444445,A1,0.084,M2,23.0,1.0,1,Galactose
34,11.652777777777779,A1,0.08700000000000001,M2,23.0,1.0,1,Galactose
35,11.98611111111111,A1,0.09000000000000001,M2,23.0,1.0,1,Galactose
36,12.319444444444445,A1,0.09299999999999999,M2,23.0,1.0,1,Galactose
37,12.652777777777779,A1,0.09599999999999999,M2,23.0,1.0,1,Galactose
38,12.98611111111111,A1,0.09899999999999999,M2,23.0,1.0,1,Galactose
39,13.319444444444445,A1,0.102,M2,23.0,1.0,1,Galactose
40,13.652777777777779,A1,0.105,M2,23.0,1.0,1,Galactose
41,13.98611111111111,A1,0.11,M2,23.0,1.0,1,Galactose
42,14.319444444444445,A1,0.113,M2,23.0,1.0,1,Galactose
43,14.652777777777779,A1,0.117,M2,23.0,1.0,1,Galactose
44,14.98611111111111,A1,0.12200000000000001,M2,23.0,1.0,1,Galactose
