,Hours,Well,OD600,Strain,Replicate,Carbon source
0,0.3194444444444444,B2,0.097,aceE,1,Galactose
1,0.6527777777777778,B2,0.097,aceE,1,Galactose
2,0.986111111111111,B2,0.097,aceE,1,Galactose
3,1.3194444444444444,B2,0.097,aceE,1,Galactose
4,1.6527777777777777,B2,0.097,aceE,1,Galactose
5,1.9861111111111112,B2,0.098,aceE,1,Galactose
6,2.319444444444444,B2,0.097,aceE,1,Galactose
7,2.6527777777777777,B2,0.098,aceE,1,Galactose
8,2.986111111111111,B2,0.098,aceE,1,Galactose
9,3.319444444444444,B2,0.098,aceE,1,Galactose
10,3.6527777777777777,B2,0.098,aceE,1,Galactose
11,3.986111111111111,B2,0.098,aceE,1,Galactose
12,4.319444444444445,B2,0.098,aceE,1,Galactose
13,4.652777777777779,B2,0.098,aceE,1,Galactose
14,4.986111111111112,B2,0.098,aceE,1,Galactose
15,5.319444444444445,B2,0.098,aceE,1,Galactose
16,5.652777777777779,B2,0.098,aceE,1,Galactose
17,5.986111111111112,B2,0.098,aceE,1,Galactose
18,6.319444444444445,B2,0.098,aceE,1,Galactose
19,6.652777777777779,B2,0.098,aceE,1,Galactose
20,6.986111111111112,B2,0.098,aceE,1,Galactose
21,7.319444444444445,B2,0.098,aceE,1,Galactose
22,7.652777777777779,B2,0.098,aceE,1,Galactose
23,7.986111111111112,B2,0.098,aceE,1,Galactose
24,8.319444444444445,B2,0.098,aceE,1,Galactose
25,8.652777777777779,B2,0.098,aceE,1,Galactose
26,8.98611111111111,B2,0.098,aceE,1,Galactose
27,9.319444444444445,B2,0.098,aceE,1,Galactose
28,9.652777777777779,B2,0.098,aceE,1,Galactose
29,9.98611111111111,B2,0.099,aceE,1,Galactose
30,10.319444444444445,B2,0.099,aceE,1,Galactose
31,10.652777777777779,B2,0.099,aceE,1,Galactose
32,10.98611111111111,B2,0.099,aceE,1,Galactose
33,11.319444444444445,B2,0.099,aceE,1,Galactose
34,11.652777777777779,B2,0.099,aceE,1,Galactose
35,11.98611111111111,B2,0.099,aceE,1,Galactose
36,12.319444444444445,B2,0.1,aceE,1,Galactose
37,12.652777777777779,B2,0.1,aceE,1,Galactose
38,12.98611111111111,B2,0.1,aceE,1,Galactose
39,13.319444444444445,B2,0.1,aceE,1,Galactose
40,13.652777777777779,B2,0.1,aceE,1,Galactose
41,13.98611111111111,B2,0.1,aceE,1,Galactose
42,14.319444444444445,B2,0.1,aceE,1,Galactose
43,14.652777777777779,B2,0.101,aceE,1,Galactose
44,14.98611111111111,B2,0.101,aceE,1,Galactose
45,15.319444444444445,B2,0.101,aceE,1,Galactose
46,15.652777777777779,B2,0.101,aceE,1,Galactose
