,M,Metabolite,Carbon source,Rate [mmol/gDW/h],Std.Err [mmol/gDW/h],Metabolite value [gDW/mmol],N carbons,Mol weight [g/mol],Turnover [mmol/gDW/h],BiGG ID,MV min,MV max,Species,Dataset
0,M1,PHENYLALANINE,Galactose,1.2315561015131713e-05,3.414898263835093e-06,0.17692291248395664,9.0,165.18913999999998,0.047591984790000014,phe__L,0.17692291248395664,0.1773122017904083,E. coli,SINTEF-23
1,M1,LEUCINE,Galactose,0.0002996785150166912,inf,0.11814517783558798,6.0,131.17291999999998,0.11573510646600003,leu__L,0.11814517783558798,0.11820813452690093,E. coli,SINTEF-23
2,M1,ISOLEUCINE,Galactose,-1.0952734720723657e-05,3.484217338740509e-06,0.13145914563632566,6.0,131.17291999999998,0.074632832694,ile__L,0.13145914563632566,0.13168800951688375,E. coli,SINTEF-23
3,M1,METHIONINE,Galactose,3.0726607433228778e-06,inf,0.1560516956307434,5.0,149.21134,0.03971046542400005,met__L,0.15605169563073784,0.15605547584487955,E. coli,SINTEF-23
4,M1,GAMMA-AMINOBUTYRATE,Galactose,0.001950981498371072,inf,0.07450006978316215,4.0,103.11976,0.0,4abut,0.07450006978316215,0.07465776917490452,E. coli,SINTEF-23
5,M1,PROLINE,Galactose,-6.6703069307007045e-06,inf,0.09518975987968248,5.0,115.13046,0.056785934730000015,pro__L,0.09518975987968248,0.09539603839030797,E. coli,SINTEF-23
6,M1,VALINE,Galactose,1.003875668312619e-05,inf,0.09421205729267523,5.0,117.14634,0.10870439353200002,val__L,0.09421205729267523,0.09435912492948562,E. coli,SINTEF-23
7,M1,PIPECOLIC ACID,Galactose,1.1750295234239789e-05,inf,,,,,,,,E. coli,SINTEF-23
8,M1,BETA-ALANINE,Galactose,3.075659697996716e-05,4.790429037147761e-06,0.05173389504045667,3.0,89.09318,0.00014796633600000497,ala_B,0.05173389504045667,0.051845673038244944,E. coli,SINTEF-23
9,M1,ALANINE,Galactose,-0.0005046700957951327,inf,0.047586064920474014,3.0,89.09318,0.25851029017800004,ala__L,0.047586064920474014,0.04769801919501937,E. coli,SINTEF-23
10,M1,CREATINE,Galactose,1.4396009625111046e-06,2.7684626925031466e-07,,7.0,161.19889999999998,0.0,crn,,,E. coli,SINTEF-23
11,M1,ALPHA-AMINOADIPATE,Galactose,4.012316727541647e-05,inf,,,,,,,,E. coli,SINTEF-23
12,M1,GLUTAMATE,Galactose,0.0025389279658078598,0.000579066474226575,0.07552428543040057,5.0,146.12132,2.594333457975043,glu__L,0.07552428543040057,0.07569468263576573,E. coli,SINTEF-23
13,M1,ASPARAGINE,Galactose,-3.3636898984904674e-05,2.102880478681067e-05,0.05694509877072207,4.0,132.11792,0.06192365473000001,asn__L,0.05694509877072207,0.05703024034198201,E. coli,SINTEF-23
14,M1,ASPARTATE,Galactose,0.00010132233786927824,1.4668033105995454e-05,0.05276570332189423,4.0,132.09474,0.7520797475940153,asp__L,0.05276570332189423,0.05288258649886746,E. coli,SINTEF-23
15,M1,PYRUVATE,Galactose,0.001926985281189744,inf,0.03930615959946149,3.0,87.05412,3.3036250298373258,pyr,0.03930615959946149,0.039402711509009536,E. coli,SINTEF-23
16,M1,LACTATE,Galactose,,,0.05171280624457486,3.0,89.07,0.0,lac__L,0.051327216307792134,0.051712806244746945,E. coli,SINTEF-23
17,M1,HEXOSES including Glucose and Fructose,Galactose,-4.650594400323034,4.610324799113943,0.10344609426635731,6.0,180.15588,0.0,fru,0.10344609426635731,0.10369134607633723,E. coli,SINTEF-23
18,M1,NAD,Galactose,1.9222793110562278e-05,inf,0.37444224470069565,21.0,662.4171620000001,10.511720438272345,nad,0.37444224470069565,0.3748442160658255,E. coli,SINTEF-23
19,M1,SUCCINATE,Galactose,0.010565390162898461,inf,0.05586551645318516,4.0,116.07216,1.2935606683993255,succ,0.05586551645318516,0.05599332688128178,E. coli,SINTEF-23
20,M1,MALATE,Galactose,0.004951602542236821,0.0007152895064247467,0.05172761861107489,4.0,132.07156,1.5614526921833412,mal__L,0.05172761861107489,0.05184567303814225,E. coli,SINTEF-23
21,M1,CIS-ACONITATE,Galactose,9.486394767842246e-05,2.2247498370389566e-06,0.07655746928952878,6.0,171.08442,1.5695905837773254,acon_C,0.07655746928952323,0.0767315960964382,E. coli,SINTEF-23
22,M1,CITRATE,Galactose,9.501819893633713e-05,inf,0.0765564711547484,6.0,189.09969999999998,1.5695905837773254,cit,0.0765564711547373,0.07673159609655478,E. coli,SINTEF-23
23,M1,ISOCITRATE,Galactose,6.609846430765805e-05,inf,0.07655846742422034,6.0,189.09969999999998,1.5695905837773254,icit,0.07655846742422034,0.07673159609645208,E. coli,SINTEF-23
24,M1,TRANS-ACONITATE,Galactose,8.189257149682577e-06,inf,0.07655746928939,6.0,171.08442,0.0,acon_T,0.07655746928939,0.0767315960964382,E. coli,SINTEF-23
25,M2,PHENYLALANINE,Galactose,1.019937352646367e-05,inf,0.17692291248395664,9.0,165.18913999999998,0.047591984790000014,phe__L,0.17692291248395664,0.1773122017904083,E. coli,SINTEF-23
26,M2,LEUCINE,Galactose,0.00011992447818064626,inf,0.11814517783558798,6.0,131.17291999999998,0.11573510646600003,leu__L,0.11814517783558798,0.11820813452690093,E. coli,SINTEF-23
27,M2,ISOLEUCINE,Galactose,,,0.13145914563632566,6.0,131.17291999999998,0.074632832694,ile__L,0.13145914563632566,0.13168800951688375,E. coli,SINTEF-23
28,M2,METHIONINE,Galactose,-1.2220031487298393e-06,inf,0.1560516956307434,5.0,149.21134,0.03971046542400005,met__L,0.15605169563073784,0.15605547584487955,E. coli,SINTEF-23
29,M2,GAMMA-AMINOBUTYRATE,Galactose,,,0.07450006978316215,4.0,103.11976,0.0,4abut,0.07450006978316215,0.07465776917490452,E. coli,SINTEF-23
30,M2,PROLINE,Galactose,-4.114485350032134e-06,inf,0.09518975987968248,5.0,115.13046,0.056785934730000015,pro__L,0.09518975987968248,0.09539603839030797,E. coli,SINTEF-23
31,M2,PIPECOLIC ACID,Galactose,4.779579625964581e-06,1.0472502249398713e-06,,,,,,,,E. coli,SINTEF-23
32,M2,BETA-ALANINE,Galactose,2.646915988825136e-05,inf,0.05173389504045667,3.0,89.09318,0.00014796633600000497,ala_B,0.05173389504045667,0.051845673038244944,E. coli,SINTEF-23
33,M2,CREATINE,Galactose,1.4840033656405862e-06,3.9183080557778515e-07,,7.0,161.19889999999998,0.0,crn,,,E. coli,SINTEF-23
34,M2,ALPHA-AMINOADIPATE,Galactose,9.285030879429485e-06,inf,,,,,,,,E. coli,SINTEF-23
35,M2,GLUTAMATE,Galactose,0.0008526467211518818,0.00028981210740856774,0.07552428543040057,5.0,146.12132,2.594333457975043,glu__L,0.07552428543040057,0.07569468263576573,E. coli,SINTEF-23
36,M2,ASPARAGINE,Galactose,3.138503782778961e-05,inf,0.05694509877072207,4.0,132.11792,0.06192365473000001,asn__L,0.05694509877072207,0.05703024034198201,E. coli,SINTEF-23
37,M2,ASPARTATE,Galactose,9.564023592770225e-05,1.9657073697504925e-05,0.05276570332189423,4.0,132.09474,0.7520797475940153,asp__L,0.05276570332189423,0.05288258649886746,E. coli,SINTEF-23
38,M2,PYRUVATE,Galactose,0.0027316919000449883,inf,0.03930615959946149,3.0,87.05412,3.3036250298373258,pyr,0.03930615959946149,0.039402711509009536,E. coli,SINTEF-23
39,M2,LACTATE,Galactose,,,0.05171280624457486,3.0,89.07,0.0,lac__L,0.051327216307792134,0.051712806244746945,E. coli,SINTEF-23
40,M2,HEXOSES including Glucose and Fructose,Galactose,-8.623469741453455,2.4841695456876467,0.10344609426635731,6.0,180.15588,0.0,fru,0.10344609426635731,0.10369134607633723,E. coli,SINTEF-23
41,M2,NAD,Galactose,1.5130334578752855e-05,inf,0.37444224470069565,21.0,662.4171620000001,10.511720438272345,nad,0.37444224470069565,0.3748442160658255,E. coli,SINTEF-23
42,M2,SUCCINATE,Galactose,0.009698679893093554,inf,0.05586551645318516,4.0,116.07216,1.2935606683993255,succ,0.05586551645318516,0.05599332688128178,E. coli,SINTEF-23
